Auctioner,Location,Date,Year,Make,Model,Engine,HP,Transmisson,Ratio,Mileage,Repairs Cost,Transport Costs,Target Price,max bidding price,Sold For,Details,
Ritchie Bros,"Lake worth, TX",9/10/2025,2024,Peterbilt,579,CumminsX15,500,Automated,,"199,570",,"$1,750.00","$90,000.00","$94,500.00",,"Cummins X15 500 hp Engine, 2023 US EPA Label, 5429 Engine hrs, Automated Transmission, 12000 lb Front Axle, 40000 lb Rears, 52000 lb GVWR, Engine Brake, 78 in High Rise Sleeper Cab, Bunk Beds, 235 in Wheelbase, Aluminum Wheels, MIXED, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Humble, TX",9/10/2025,2024,Kenworth,T680,CumminsISX,500,Automated,,"225,970",,"$1,900.00","$103,000.00","$108,150.00",,"Cummins ISX 500 hp Engine, 2023 US EPA Label, 11894 Engine hrs, Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, 53200 lb GVWR, Engine Brake, 72 in High Rise Sleeper Cab, Bunk Beds, 239 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5 Front Tires, 275/80R22.5 Rear Tires, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Humble, TX",9/10/2025,2024,Kenworth,T680,CumminsX15,500,Automated,,"172,859",,"$1,900.00","$110,000.00","$115,500.00",,"Cummins X15 6 Cylinder Diesel 500 hp Engine, 2022 US EPA Label, Requires Diesel Exhaust Fluid, Engine Brake, Automated Transmission, Differential Lock, 12350 lb Front Axle, 40000 lb Rears, 52350 lb GVWR, Air Ride Cab, 72 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 295/75R22.5, Airglide Air Ride Suspension, 232 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Humble, TX",9/10/2025,2024,Kenworth,T680,CumminsX15,500,Automated,,"197,640",,"$1,900.00","$108,000.00","$113,400.00",,"Cummins X15 6 Cylinder 15.0 L Diesel 500 hp Engine, 2022 US EPA Label, Requires Diesel Exhaust Fluid, 6902.3 Engine hrs, Engine Brake, Eaton Fuller Automated Transmission, 12350 lb Front Axle, 40000 lb Rears, 52350 lb GVWR, Air Ride Cab, 72 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 295/75R22.5, Paccar Air Ride Suspension, 230 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Lake worth, TX",9/10/2025,2022,Freightliner,Cascadia 126,DetroitDD15,505,Automated,,"338,661",,"$1,750.00","$57,000.00","$59,850.00","$68,000.00","2021 US EPA Label, 13185 Engine hrs, Detroit DT12-1750-OH1 12-Speed Automated Transmission, 13300 lb Front Axle, 40000 lb Rears, 53300 lb GVWR, Engine Brake, 70 in High Rise Sleeper Cab, 233 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Lake worth, TX",9/10/2025,2021,Freightliner,Cascadia 126,DetroitDD15,475,Automated,,"458,634",,"$1,750.00","$43,000.00","$45,150.00","$39,000.00","Detroit DD15 6 Cylinder 14.8 L Diesel 475 hp Engine, 2020 US EPA Label, Requires Diesel Exhaust Fluid, 11395 Engine hrs, Engine Brake, Detroit 12-Speed Automated Transmission, 12000 lb Front Axle, 40000 lb Rears, Detroit DA-RT-40.0-4 Drive Axles, 2.85:1 Axle Ratio, 52000 lb GVWR, Air Ride Cab, 72 in High Rise Sleeper Cab, Bunk Beds, Aluminum Outer Wheels, 295/75R22.5, Airliner Air Ride Suspension, 229 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Humble, TX",9/10/2025,2024,Volvo,VNL,VolvoD13N,455,Automated,,"443,526",,"$1,900.00","$58,000.00","$60,900.00","$55,000.00","Volvo D13N-455 6 Cylinder 12.8 L Diesel 455 hp Engine, 2023 US EPA Label, Requires Diesel Exhaust Fluid, Engine Brake, Volvo ATO2612F 13-Speed Automated Transmission, 13200 lb Front Axle, 38000 lb Rears, 51200 lb GVWR, Air Ride Cab, 61 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 295/75R22.5, Air Ride Suspension, 230 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Lake worth, TX",9/10/2025,2025,Volvo,VNL760,VolvoD13N,455,Automated,,"53,389",,"$1,750.00","$143,000.00","$150,150.00","$138,000.00","Volvo D13N 455 hp Engine, 2024 US EPA Label, 2856 Engine hrs, Volvo ATO2612F 12-Speed Automated Transmission, 13200 lb Front Axle, 38000 lb Rears, 51200 lb GVWR, 77 in High Rise Sleeper Cab, 228 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Peterbilt,579,CumminsX15,500,Automated,,"303,642",,"$3,800.00","$65,000.00","$68,250.00","$64,000.00","Cummins X15 500 hp Engine, Paccar Automated Transmission, 12000 lb Front Axle, 40000 lb Rears, 52000 lb GVWR, Engine Brake, 72 in High Rise Sleeper Cab, 241 in Wheelbase, Low Air Leaf Suspension, Aluminum Wheels, 275/80R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Peterbilt,579,CumminsX15,500,Automated,,"434,827",,"$3,800.00","$45,000.00","$47,250.00","$52,000.00","Cummins X15 500 hp Engine, 2022 US EPA Label, 3555 Engine hrs, Automated Transmission, 12350 lb Front Axle, 40000 lb Rears, 52350 lb GVWR, Engine Brake, 70 in High Rise Sleeper Cab, 251 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Assist Front Suspension, Air Sliding 5th Wheel, Dual Fuel Tanks",
